nElts     nEltsDG   cfl   NSTEP     NPROC     nOutImg   nbRec     nOutRec   totalHCPU ID_HPC    Remark
  1328000   1284800 0.391    393800      1008      2000       164       100     74988   1529789 # FNS InSight 20h 3hz w/  perioBC
  1660000   1606000 0.391    600000      1680      4000       200       100     51256   1538139 # FNS InSight 22h 3hz w/o perioBC
    80518     80518 0.254     20600      1152      5000        87        50     86388   1560350 # LNS mb gmsh 400km (3) refined and atmmodel reg
    80518     80518 0.254     37200      1152      5000        87        50     86386   1560541 # FNS mb gmsh 400km (3) refined and atmmodel reg
  1660000   1606000 0.469    490000      1680      5000       204       100     83542   1601166 # FNS InSight 20h 3hz w/  perioBC softsoil z12k
  1660000   1606000 0.469    490000      1680      5000       204       100     83018   1633618 # FNS InSight 20h 3hz w/  perioBC softsoil z800
    23520     20160 0.039     46200       240       100       400       100       598    150400 # FNS InSight 20h 0.1hz
   204980    198320 0.044     70000       384      5000       857       100      8541    150395 # FNS InSight incidence 20h 3hz
    23520     20160 0.039    236600       240       100       400       100      3036    151120 # FNS InSight f=0.1Hz but crashed
   415000    401500 0.469    490000       640      5000       669       100     81734    151319 # FNS InSight incidence 20h 3hz larger
  1702000   1602000 0.469    486400      1680      5000       494       100     86386   1682282 # FNS InSight 20h 3hz w/  perioBC hardsoil z12k
   900000    853000 0.469    110500      1536      5000       397       100     17985   1691823 # FNS InSight impact
    14228      8005 0.482     64000        64      1000        14        25      1789   1939115 # FNS tir de mine 40Hz redone
   733000    682000 0.469    204500       384      5000       157       100     43188   1996492 # FNS InSight waveguide excitation
  1174000   1120000 0.469    112400      1280     10000       198       100     64784   2112987 # FNS InSight sol 0 z2000
   626280    571200 0.469     94200       960     10000       182       100     80025   2176570 # FNS InSight sol 0 z0045
  1660000   1606000 0.469    285000      1152      5000       204       100     86386   2589397 # mars_insight_1633618_z800_redoneFNS_withoutAtt
   310400    285600 0.469    350000       324     10000        73       100     53985   3032920 # FNS InSight sol 189 var04
   310400    285600 0.469    350000       324     10000        55       100     53988   3032928 # FNS InSight sol 189 var05
   310400    285600 0.469    350000       324     10000        45       100     53988   3032931 # FNS InSight sol 189 var06
   310400    285600 0.469    350000       324     10000        45       100     46290    288682 # FNS InSight sol 189 var02
   320800    299200 0.469    230000       324     10000        48       100     32140    288975 # FNS InSight _ctrlAtm_02
   320800    299200 0.469    230000       324     10000        48       100     32281    288976 # FNS InSight _ctrlAtm_03
   308800    284000 0.469    100000       648     20000        27       100     10085    290950 # FNS InSight sol 0 sigma=30
   308800    284000 0.469    100000       648     20000        27       100     10063    290374 # FNS InSight sol 0 redone sigma=50
   310400    285600 0.469    100000       648     20000        27       100      9976    291193 # FNS InSight sol 189 _sig=50_f0=1.5_outside_duct
   310400    285600 0.469    100000       648     20000        27       100      9964    289776 # FNS InSight sol 189 _sig=50_f0=1.5
   310400    285600 0.469    181400       648     20000        27       100     18082    289598 # FNS InSight sol 189 _sig=30_f0=1.5
   310400    285600 0.469    350000       324     10000        48       100     46043    288681 # FNS InSight sol 189 _sig=30_f0=3.0
   310400    285600 0.469    200000       648     20000        27       100     20022    291537 # FNS InSight sol 189 _thicc_outside
   296800    272000 0.469    100000       648     20000        41       100      9557    291311 # FNS InSight sol 189 
   310400    285600 0.469    100000       648     20000        27       100      9970    291534 # FNS InSight sol 189 _slightlyhigher
   310400    285600 0.469    100000       648     20000        27       100     10009    291243 # FNS InSight sol 189 _f0=1.5_sig=50_thickened
     7125      2375 0.467     19000        32       100         7        25       223    173861 # FNS aarhus 2090hz
     7125      2375 0.534     19000        32        50         7        25       182    172340 # FNS aarhus 2000hz
